content,time,mode,color,send_time,cid,episode,episode_title,anime_title,aid,clean_content,segmented
不认识的跟我读：阴炁dan弹,1164.544,1,16777215,2025-01-24 10:37:10,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,dan,dan
Paladin,450.558,1,16777215,2024-12-28 13:36:15,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,Paladin,Paladin
basalka,176.997,1,16777215,2024-12-22 14:11:00,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,basalka,basalka
"woc,google",1161.902,1,16777215,2024-12-09 20:20:58,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,wocgoogle,wocgoogle
有没有一种可能呆毛其实并没有fz里那么man呢，fz本来就是虚渊玄理解错误导致的,635.36,1,14811775,2024-10-30 03:00:54,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,fzmanfz,fzmanfz
neger,425.298,1,16777215,2024-10-05 19:26:35,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,neger,neger
我是negger,422.299,1,16777215,2024-09-21 18:55:55,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,negger,negger
';l;l',152.959,1,16777215,2024-09-18 12:32:14,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,ll,ll
Berserker,437.778,1,16777215,2024-09-16 23:55:56,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,Berserker,Berserker
完咯不会是死亡flag吧,952.55,1,16777215,2024-09-16 00:46:09,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,flag,flag
光合作用ing,296.055,1,38979,2024-08-23 00:37:55,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,ing,ing
红A：我可是Archer,931.781,1,16646914,2024-08-21 19:22:48,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,AArcher,AArcher
06告诉我有个teacher,441.491,1,16777215,2024-08-19 23:56:34,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,06teacher,06teacher
职介:teacher 体术：正常人类里A,749.905,1,16777215,2024-08-08 20:58:19,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,teacher A,teacher A
底牌=底牌x1000,1274.662,1,16707842,2024-08-01 20:01:48,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,x1000,x1000
god father,454.077,1,16777215,2024-08-01 08:11:15,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,god father,god father
shi可以放宝具了,752.281,1,16707842,2024-07-29 15:02:59,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,shi,shi
coke,441.738,5,15138834,2024-07-15 22:18:49,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,coke,coke
driver,436.711,1,16777215,2024-07-15 10:48:18,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,driver,driver
UBW就是红A宝具无限剑制的意思,160.348,1,16777215,2024-07-12 21:07:44,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,UBWA,UBWA
B叔只要不是在一场战斗中一次性用掉9条命就是无敌的,57.065,1,16777215,2024-07-09 21:00:49,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,B9,B9
writer和teacher,430.731,5,16755202,2024-06-22 12:08:01,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,writerteacher,writerteacher
4k画质真爽,171.515,1,16777215,2024-06-16 12:24:02,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,4k,4k
Teache,739.965,1,16777215,2024-06-02 07:39:56,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,Teache,Teache
还有tosaka ,428.982,1,16777215,2024-05-27 22:47:11,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,tosaka,tosaka
Damn—mer ,446.505,1,16777215,2024-05-02 22:59:17,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,Damnmer,Damnmer
FZ说过她不能灵体化,1017.501,1,16777215,2024-02-29 23:49:19,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,FZ,FZ
简直就是开局一把狙结算cop,909.372,1,16777215,2024-02-22 17:50:19,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,cop,cop
BGM好好听,1195.47,1,16777215,2024-02-22 14:53:07,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,BGM,BGM
coker,453.771,1,16777215,2024-02-18 14:21:29,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,coker,coker
怪不得红a是archer。,878.609,1,16777215,2024-02-14 12:53:56,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,aarcher,aarcher
在凛线能不能别提别的CP,665.435,1,16777215,2024-02-10 22:16:54,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,CP,CP
还有printer!,456.572,1,16777215,2024-02-07 01:21:57,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,printer,printer
unfair ,235.005,5,11890,2024-02-04 18:53:56,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,unfair,unfair
攻略step1,356.54,1,16777215,2024-02-04 12:29:10,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,step1,step1
单独行动A++（bushi）,731.977,1,16777215,2024-02-02 10:36:27,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,Abushi,Abushi
oi！！老登,1100.555,1,16777215,2024-01-26 15:37:27,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,oi,oi
cooker是厨具，cook才是厨师,1108.326,1,16777215,2024-01-25 13:22:33,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,cookercook,cookercook
好活跃的saber www,840.83,1,16777215,2024-01-17 12:13:57,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,saber www,saber www
闪耀之路补np啊,491.729,1,16777215,2024-01-17 11:37:52,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,np,np
因为樱是rider的master啊,1039.006,1,16777215,2024-01-04 20:17:49,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,ridermaster,ridermaster
dianhzu,950.238,1,16777215,2023-12-19 01:04:29,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,dianhzu,dianhzu
小jiojio可爱滴,258.671,1,16777215,2023-12-17 17:33:18,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,jiojio,jiojio
还真是WWW,979.718,1,41194,2023-11-28 16:40:33,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,WWW,WWW
神级op,67.579,1,16777215,2023-10-22 12:43:30,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,op,op
cy,771.298,1,16777215,2023-10-06 20:33:05,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,cy,cy
ub,250.002,1,16777215,2023-10-06 20:15:08,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,ub,ub
saber惊讶于这次的master怎么这么好说话,538.58,1,16777215,2023-10-04 00:38:43,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,sabermaster,sabermaster
还有wate,435.206,1,16777215,2023-09-23 17:06:00,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,wate,wate
最强职阶作者  author,426.591,1,16777215,2023-09-20 11:32:44,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,author,author
“把master一人留在外面太危险了”,721.406,1,16777215,2023-09-18 22:41:59,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,“master”,“ master ”
红A：我有10000张底牌,1274.222,1,16777215,2023-09-16 11:25:52,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,A10000,A10000
最强职业theater ,750.552,5,14811775,2023-08-27 23:20:41,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,theater,theater
4p,1142.835,1,16777215,2023-08-26 10:32:18,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,4p,4p
看樱的去hf，这是凛线,1039.718,1,16777215,2023-08-23 12:31:22,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,hf,hf
和樱比起来saber好小一只www,1050.619,1,16707842,2023-08-20 19:56:39,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,saberwww,saberwww
Ubw不是凛线吗？这是什么情况？,1139.005,1,16777215,2023-08-20 10:58:45,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,Ubw,Ubw
prprprpr,789.521,1,16777215,2023-08-15 20:42:27,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,prprprpr,prprprpr
re0？,1219.759,1,16777215,2023-08-12 12:13:06,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,re0,re0
teacher在06版里直接把saber给打昏了，强的一笔,748.865,1,16777215,2023-08-11 20:21:57,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,teacher06saber,teacher06saber
saber吃的比别人快hhhhh,1068.976,1,16777215,2023-08-03 02:01:20,2554067,4,战意之所在,Fate/stay night [Unlimited Blade Works] 第一季,1674473,saberhhhhh,saberhhhhh
